Hello World!
text: 00000000800002AE, trojan data: 000000008002A000, spy data 000000008000A000
1000 points done
1000 points done
1000 points done
1000 points done
1000 points done
Done... printing results
195 40589
134 39283
12 39029
24 39325
49 39324
99 39413
199 39192
142 39409
29 39602
58 39346
117 39107
234 39496
213 39258
171 39555
87 39176
174 39224
93 39221
187 39049
119 39534
238 39068
220 39298
184 39262
113 39325
227 39308
199 39087
143 39209
30 39115
60 38935
121 39606
243 39080
231 39021
207 39169
158 39210
61 39133
122 39285
244 39480
232 39083
209 39602
163 39356
71 39109
142 39347
29 39385
58 39248
117 39164
235 39243
214 39480
173 39186
90 39444
180 39431
105 39261
211 39561
167 39373
79 39630
159 39288
63 39442
126 39320
252 39166
249 39348
243 39011
231 39390
206 38921
157 39427
58 39345
117 39393
235 39483
214 39295
172 39293
88 39504
177 39012
98 39605
196 39178
136 39456
17 39035
35 39242
71 39444
142 39056
29 39402
59 39208
119 39239
239 39093
223 39477
190 39190
124 39233
248 39352
241 39459
227 39478
198 39658
141 39085
27 39190
55 39127
110 39527
220 39396
184 39639
113 39497
226 39212
197 39288
139 39227
22 39251
44 39058
89 39131
179 39307
103 39390
207 38972
158 39451
60 39005
121 39408
243 39498
231 38826
207 39249
158 39084
61 39372
123 39327
247 39361
238 39010
221 39256
186 39201
116 39291
232 39422
209 39292
162 39482
68 39174
136 39286
17 39083
34 39267
68 39253
137 39234
19 39154
38 38969
77 38923
154 39502
52 39340
105 39307
211 39512
166 39591
77 39461
155 39272
55 39401
111 39193
223 39479
191 39239
126 39117
253 39193
250 39133
244 39517
232 39140
208 39136
161 39242
66 39450
132 39037
8 39474
16 39273
32 39166
64 39335
129 39271
3 39158
6 39482
12 39331
24 39024
48 39410
97 39644
195 39310
135 39430
14 38544
29 38958
58 39253
117 39662
234 38972
212 39292
168 39257
81 39586
162 39155
68 39376
136 39196
17 39316
35 39175
71 39045
143 39157
30 39260
60 39191
120 39208
240 39371
225 39524
194 39357
132 39298
8 39327
16 39379
33 39260
66 39418
133 39272
11 39178
22 39224
45 39379
90 39337
180 39314
104 39335
208 39027
161 39336
67 39155
135 39004
14 39024
29 39234
58 39079
117 39378
234 39490
213 39147
170 39381
84 39162
169 39144
83 39423
166 39384
76 39460
153 39279
51 39132
102 39022
205 38975
155 39392
54 39205
109 39437
219 39305
183 39396
110 39448
220 39247
185 39224
114 39016
228 39107
200 39276
145 39211
35 39322
71 39220
142 39270
29 39606
59 39256
119 39324
239 39374
222 39184
189 39082
123 39439
247 39358
238 39040
221 39309
187 39423
119 39300
238 38822
220 39348
184 39041
112 39252
225 39216
194 39212
132 39224
8 39154
16 39700
33 39211
66 39276
132 39540
8 39374
17 39074
35 39207
71 39242
142 39469
29 39196
58 39464
116 39393
232 39388
208 39296
161 39343
66 39367
133 39230
10 38967
21 39455
42 39223
85 39404
170 39397
84 39085
168 39446
80 39287
160 39304
64 39300
129 39328
3 39565
7 39318
14 39436
28 38869
56 39573
113 39306
227 38794
198 39389
140 39426
25 39241
51 38964
103 38892
207 39058
159 39348
63 39406
126 39218
253 39360
251 39246
247 39272
238 38903
220 39231
185 39082
115 39388
231 39079
207 39370
158 39322
61 39510
122 39514
244 39081
232 39474
208 39445
160 39223
64 39272
128 39214
1 38886
2 39306
4 39311
9 39436
19 39105
39 39116
79 39356
159 39107
63 39365
126 39376
253 39491
251 39207
246 39358
237 39172
219 39604
183 39119
111 39227
222 39520
189 38969
122 39429
244 39447
233 39323
211 39018
166 39298
76 39099
153 39364
50 39448
100 39259
201 39099
146 39398
36 39213
72 39003
144 39160
33 39184
67 39294
134 39681
13 39325
27 39293
54 39359
108 39386
216 39438
176 39058
97 39531
195 39312
135 39275
15 39328
31 39430
62 39407
124 39659
248 39351
240 39308
224 39201
192 39429
129 39343
2 39219
4 39196
9 39236
18 39147
36 38990
73 39167
146 39249
37 39321
75 39339
150 39450
44 39329
88 39439
176 39429
97 39271
195 39151
135 39004
14 39177
29 39504
59 39358
118 39559
236 39376
216 39330
177 39381
98 39234
197 39249
139 39256
22 39534
44 38717
88 39536
177 39301
98 39419
196 39309
136 39307
16 38871
33 39204
66 39045
132 39291
8 39289
16 39101
32 39061
64 39127
128 39342
0 39389
0 39050
1 39394
2 39207
5 39470
11 39289
22 39101
44 39281
89 39467
178 39210
101 39037
203 39517
151 39443
46 39435
93 39262
186 39542
117 39375
235 39153
214 39282
172 39410
88 39456
176 39390
96 39320
192 39479
128 39323
0 39048
1 39465
2 39360
5 39217
11 39544
23 39363
46 39515
92 39517
185 38952
115 39343
230 39320
205 39214
154 39229
52 39025
105 39380
210 39333
165 39329
74 39463
148 39295
41 39628
83 39083
167 39357
78 39312
157 39496
58 39261
116 39235
233 39392
210 39226
165 39277
75 39735
151 39557
47 39263
94 39207
189 39338
123 39488
247 39109
238 39218
220 39308
185 39339
115 39679
231 38983
206 39334
156 39372
56 39075
112 39452
225 39548
194 39436
133 39366
11 39157
22 39362
44 39152
88 39375
176 39186
96 38923
192 39300
128 39352
1 39245
2 39322
4 39299
8 39143
16 39553
32 39429
64 39473
129 39020
3 39020
7 39140
15 39558
30 39175
61 39181
122 39309
245 39549
234 39369
212 39214
168 39302
80 39302
160 38931
64 39575
129 39361
2 39125
4 39431
9 39338
19 39293
38 39203
77 39155
155 39109
55 39363
111 39325
223 39198
190 39361
125 39194
250 39516
245 39338
234 39452
213 39486
171 39416
87 39157
175 39325
95 39429
191 39271
127 39646
255 39283
254 39052
253 39374
250 39435
245 39499
234 39110
212 38987
169 39634
82 39295
165 39537
75 39187
151 39188
47 39280
94 39340
189 39264
123 39501
246 39245
237 39344
219 39189
182 39306
108 39077
216 39279
177 39275
98 39478
196 39255
137 39272
19 39103
39 39328
79 39138
158 39446
60 39378
120 39334
240 39339
225 39502
195 39490
134 39218
13 39266
26 39034
53 39281
107 39522
215 39522
175 39456
95 39406
191 39050
126 39341
253 39295
250 39276
245 39062
234 39443
213 39052
171 39313
86 39287
173 39429
91 38757
183 39091
111 38891
223 39257
191 39306
126 39230
252 39206
248 39142
241 39050
226 39413
196 39318
137 39515
19 39147
39 39148
79 39240
159 39424
63 39411
127 39467
254 39423
253 38903
250 39471
245 39070
235 39428
215 39478
174 39655
92 39229
184 39256
112 39384
225 39257
194 39546
132 39130
9 39571
18 39309
37 39314
75 39548
150 39141
45 39504
90 39485
180 39182
105 39626
210 39283
164 39193
72 39241
144 39410
32 39214
64 39108
129 39559
2 39352
4 39536
9 39167
18 39338
36 39502
72 39115
144 39707
33 39178
67 39261
135 39469
14 39447
28 39179
56 39517
113 39226
226 39392
197 39336
138 39240
21 39316
42 39415
84 39206
168 39207
80 39315
160 39300
64 39252
128 39375
0 39428
0 39351
0 39367
0 39498
1 39227
2 39403
5 39072
11 39127
22 39221
44 39359
89 39327
179 39508
103 39280
206 39392
157 39529
58 39360
116 39578
232 39139
208 38986
160 39145
65 39174
131 39269
7 39172
14 39465
28 39431
56 39381
113 39184
227 39191
199 39445
143 39522
30 39462
61 39247
122 39149
244 39286
233 39424
211 39405
166 39190
77 39421
154 39224
52 39399
104 38897
208 39168
160 39332
64 39395
128 39001
0 39224
1 39516
3 39550
7 39240
15 39328
31 39394
63 39458
127 39093
254 38908
252 39199
248 39482
241 39484
226 39619
196 39532
136 39323
17 39597
34 39683
69 39199
138 39541
21 38800
43 39354
87 39263
175 39157
95 39055
190 39247
124 39332
249 39310
242 39182
228 39500
201 39334
147 38981
38 39192
77 39165
155 39525
55 39465
111 39298
223 39605
190 39198
124 39206
248 39022
240 39474
225 39375
194 39532
133 39365
10 39162
20 39399
40 39038
81 39041
162 39266
68 39227
136 39274
16 39311
32 39278
65 39590
131 39479
6 39091
12 39484
25 39418
51 39202
102 39436
205 39131
154 39548
52 39355
105 39533
210 39304
165 39194
74 39238
148 39395
41 39121
82 39209
165 39445
75 39088
150 39387
44 39183
88 39266
176 39421
97 39433
195 39452
134 39095
13 39109
26 39346
53 39111
106 39368
213 39357
171 39393
86 39344
172 39399
89 39270
179 39458
103 39396
206 39272
157 39502
59 39321
119 39457
238 39136
220 39550
184 39057
113 39401
226 39227
196 39160
137 39252
18 39410
36 39303
72 38894
144 39417
33 39384
66 39560
133 39500
10 39383
21 39206
42 39422
85 39156
171 39484
86 39268
172 39328
88 39299
177 39276
99 39179
198 39403
141 39400
26 39207
52 39619
105 38894
210 39121
164 39220
73 39502
147 39342
39 39263
78 38983
157 39251
59 39282
119 39562
239 39263
223 39185
191 39370
126 39232
253 39392
250 39017
244 39319
232 38830
208 39361
160 39250
64 39254
129 39296
3 39474
6 39149
13 39462
26 39450
53 39286
107 39508
214 39338
173 39189
90 39565
180 39183
104 39019
209 39510
162 39329
68 39349
136 39222
17 39276
35 39211
71 39264
143 39492
31 39385
63 39571
126 39210
253 39333
251 39333
246 39278
237 39209
218 38854
180 39201
104 39515
209 39326
163 39298
71 39213
143 39314
31 39178
63 39272
126 39008
252 39243
248 39396
241 39118
227 39126
199 39574
143 39520
31 39506
63 39198
127 39236
255 39497
254 39289
253 38903
250 39299
244 39247
233 39157
211 39605
166 39265
76 39591
152 39518
48 39114
97 39522
194 39513
133 39228
11 39606
23 39275
46 39253
93 39519
187 39210
118 39089
237 39507
219 39356
183 39500
110 39223
220 39088
185 39344
114 39329
229 38919
203 39380
151 39418
47 39071
95 39019
191 39546
127 39452
255 39345
255 39245
255 39449
254 39139
252 39484
249 39255
242 39126
229 39198
202 39224
149 39501
42 39214
84 39482
169 39217
83 39275
166 39499
77 39365
155 39024
55 39218
110 39212
221 39341
187 39260
119 38973
239 39400
222 39327
188 39053
121 39341
242 39170
229 39093
202 39293
149 39312
42 39068
85 38964
170 39310
84 39048
168 39568
81 39134
163 39388
70 39378
140 39274
24 39129
48 39180
96 39002
193 39193
130 39279
5 39167
10 39285
21 39261
43 39478
87 39344
174 39292
93 38794
187 39362
119 39436
238 39444
220 39184
184 39104
112 39334
224 39350
193 39132
130 39050
5 39365
10 39283
21 39018
42 39352
84 39333
168 39530
81 39264
162 39231
69 39409
138 39273
20 39067
40 39569
81 39420
162 39264
69 39308
139 39137
23 39353
46 39396
92 39012
185 39337
115 39305
230 39274
205 39523
154 38925
53 39495
107 39123
214 38970
173 39470
90 39463
181 39023
107 39558
214 39335
172 39065
88 39317
176 39141
96 39202
193 39368
130 39218
5 39354
11 39678
23 39429
47 39412
95 38965
190 39411
125 39252
251 39368
246 39195
237 38870
218 39441
180 39375
104 39237
208 39460
160 39513
64 39509
129 39237
3 39273
7 39124
15 39277
31 39448
63 39143
127 39283
254 39511
253 39173
250 39418
244 39244
232 39515
209 39649
162 39252
68 39435
137 39509
18 39286
36 39403
73 39330
146 39281
36 39120
72 39081
144 39125
32 39436
65 39164
131 39164
7 39366
15 39330
31 39233
62 39297
124 39325
248 39032
241 39047
226 39515
197 39308
138 39300
20 39297
40 39402
81 39098
163 39396
70 38952
141 39368
27 39554
54 39485
108 39196
216 39273
177 39413
99 39582
199 39481
143 39364
30 39318
61 39322
123 39191
246 39440
236 39458
216 39463
176 39330
97 39492
194 39130
132 39277
8 38923
17 39154
35 39465
71 39239
142 39329
29 39222
58 39489
117 39476
234 39515
212 39288
168 39220
80 39230
160 39393
64 39116
128 39442
0 39322
0 39452
0 39329
1 39407
3 39040
7 39372
15 39451
30 39262
61 39286
123 39234
247 39145
238 39658
220 39501
184 39264
112 39313
224 39183
192 39223
128 38926
1 39276
2 39275
4 39508
8 39590
17 39341
35 39032
71 38979
143 39172
31 39332
63 39257
127 39462
254 39063
252 39375
249 39544
242 39282
229 39039
203 39303
151 39049
47 39211
95 39273
191 39493
126 39353
253 39356
250 39184
244 39000
232 39346
209 38935
162 39465
68 39220
137 39414
18 39467
36 39621
72 39414
144 39288
32 39233
65 39410
130 39574
5 39115
11 39403
22 39485
45 39101
91 39347
182 39452
109 39238
218 39005
180 39073
104 39193
209 39019
163 39283
71 39071
143 39186
30 39330
60 39161
120 39226
241 39491
227 39359
198 39275
140 39264
25 39242
50 39362
100 38985
201 39389
146 39416
36 39112
72 39363
145 39575
35 39368
71 39433
142 39398
29 39273
59 38982
119 39598
238 39022
220 39307
184 39351
113 39388
226 39330
196 39237
136 39482
17 39441
35 39388
71 39173
143 39226
31 39248
62 39428
125 39494
250 39411
245 38898
234 39340
212 39116
169 39263
82 39378
164 39367
72 39422
144 39222
32 39574
64 39078
128 39659
1 39412
2 39238
5 39198
11 39184
22 39146
45 39226
90 39422
180 39053
104 39727
208 39162
160 39306
65 39328
131 38995
7 39266
