Hello World!
text: 0000000010005302, shared data: 0000000080000000
data in DRAM... making one way cache
1000 points done
Done... printing results
195 8123
134 6686
12 6686
24 6686
49 6686
99 6686
199 6686
142 6686
29 6686
58 6686
117 6686
234 6686
213 6686
171 6686
87 6686
174 6686
93 6686
187 6686
119 6686
238 6686
220 6686
184 6686
113 6686
227 6686
199 6686
143 6686
30 6686
60 6686
121 6686
243 6686
231 6686
207 6686
158 6686
61 6686
122 6686
244 6686
232 6686
209 6686
163 6686
71 6686
142 6686
29 6686
58 6686
117 6686
235 6686
214 6686
173 6686
90 6686
180 6686
105 6686
211 6686
167 6686
79 6686
159 6686
63 6686
126 6686
252 6686
249 6686
243 6686
231 6686
206 6686
157 6686
58 6686
117 6686
235 6686
214 6686
172 6686
88 6686
177 6686
98 6686
196 6686
136 6686
17 6686
35 6686
71 6686
142 6686
29 6686
59 6686
119 6686
239 6686
223 6686
190 6686
124 6686
248 6686
241 6686
227 6686
198 6686
141 6686
27 6686
55 6686
110 6686
220 6686
184 6686
113 6686
226 6686
197 6686
139 6686
22 6686
44 6686
89 6686
179 6686
103 6686
207 6686
158 6686
60 6686
121 6686
243 6686
231 6686
207 6686
158 6686
61 6686
123 6686
247 6686
238 6686
221 6686
186 6686
116 6686
232 6686
209 6686
162 6686
68 6686
136 6686
17 6686
34 6686
68 6686
137 6686
19 6686
38 6686
