Hello World!
text: 0000000010005302, shared data: 0000000080000000
data in DRAM... making one way cache
1000 points done
1000 points done
1000 points done
Done... printing results
195 8122
134 9578
12 12453
24 12160
49 11574
99 10405
199 8038
142 9388
29 12051
58 11371
117 9972
234 7205
213 7716
171 8701
87 10689
174 8626
93 10540
187 8322
119 9921
238 7113
220 7540
184 8401
113 10073
227 7381
199 8049
143 9361
30 12033
60 11333
121 9894
243 7005
231 7281
207 7857
158 9009
61 11290
122 9838
244 6980
232 7272
209 7791
163 8892
71 11049
142 9388
29 12051
58 11373
117 9962
235 7205
214 7681
173 8667
90 10601
180 8491
105 10255
211 7766
167 8786
79 10866
159 8984
63 11256
126 9770
252 6795
249 6863
243 7013
231 7297
206 7865
157 9044
58 11350
117 9972
235 7204
214 7691
172 8676
88 10665
177 8551
98 10431
196 8108
136 9511
17 12326
35 11909
71 11066
142 9403
29 12049
59 11334
119 9931
239 7105
223 7481
190 8258
124 9818
248 6898
241 7062
227 7382
198 8058
141 9411
27 12092
55 11433
110 10138
220 7548
184 8416
113 10086
226 7398
197 8084
139 9461
22 12201
44 11715
89 10646
179 8525
103 10306
207 7857
158 9008
60 11308
121 9872
243 7006
231 7297
207 7857
158 9010
61 11298
123 9829
247 6921
238 7115
221 7532
186 8341
116 10005
232 7255
209 7791
162 8910
68 11133
136 9536
17 12318
34 11925
68 11133
137 9527
19 12285
38 11841
77 10914
154 9093
52 11491
105 10247
211 7765
166 8818
77 10915
155 9085
55 11441
111 10137
223 7489
191 8232
126 9763
253 6771
250 6853
244 6980
232 7273
208 7833
161 8919
66 11166
132 9621
8 12553
16 12368
32 11968
64 11240
129 9696
3 12667
6 12586
12 12443
24 12168
48 11608
97 10456
195 8125
135 9561
14 12408
29 12051
58 11371
117 9970
234 7223
212 7741
168 8761
81 10846
162 8911
68 11116
136 9521
17 12326
35 11917
71 11048
143 9353
30 12011
60 11323
120 9890
240 7073
225 7423
194 8150
132 9618
8 12535
16 12361
33 11959
66 11178
133 9595
11 12470
22 12193
45 11675
90 10606
180 8498
104 10295
208 7835
161 8935
67 11149
135 9570
14 12393
29 12043
58 11358
117 9971
234 7213
213 7699
170 8725
84 10756
169 8735
83 10773
166 8818
76 10955
153 9120
51 11516
102 10328
205 7883
155 9084
54 11483
109 10155
219 7574
183 8417
110 10138
220 7558
185 8366
114 10045
228 7356
200 8033
145 9312
35 11908
71 11065
142 9386
29 12083
59 11333
119 9913
239 7098
222 7488
189 8275
123 9829
247 6913
238 7122
221 7522
187 8326
119 9930
238 7115
220 7564
184 8391
112 10096
225 7423
194 8165
132 9620
8 12528
16 12368
33 11958
66 11183
132 9620
8 12538
17 12359
35 11918
71 11057
142 9386
29 12043
58 11358
116 10005
232 7265
208 7835
161 8935
66 11175
133 9611
10 12485
21 12266
42 11741
85 10722
170 8728
84 10756
168 8768
80 10855
160 8961
64 11224
129 9687
3 12651
7 12568
14 12385
28 12098
56 11421
113 10063
227 7381
198 8058
140 9435
25 12167
51 11524
103 10305
207 7841
159 8985
63 11250
126 9761
253 6779
251 6821
247 6913
238 7122
220 7538
185 8367
115 10039
231 7288
207 7858
158 9010
61 11323
122 9848
244 6981
232 7256
208 7838
160 8960
64 11224
128 9703
1 12702
2 12682
4 12636
9 12518
19 12277
39 11818
79 10866
159 8993
63 11241
126 9761
253 6772
251 6821
246 6946
237 7139
219 7573
183 8427
111 10137
222 7515
189 8282
122 9863
244 6980
233 7247
211 7773
166 8826
76 10931
153 9119
50 11543
100 10380
201 7999
146 9301
36 11900
72 11038
144 9353
33 11966
67 11157
134 9578
13 12427
27 12111
54 11445
108 10188
216 7648
176 8575
97 10455
195 8149
135 9561
15 12386
31 11990
62 11268
124 9818
248 6898
240 7073
224 7464
192 8208
129 9696
2 12691
4 12628
9 12518
18 12318
36 11876
73 11014
146 9293
37 11852
75 10964
150 9202
44 11675
88 10648
176 8593
97 10431
195 8149
135 9561
14 12393
29 12042
59 11342
118 9938
236 7163
216 7640
177 8583
98 10418
197 8082
139 9475
22 12218
44 11676
88 10673
177 8575
98 10423
196 8108
136 9528
16 12358
33 11960
66 11164
132 9613
8 12538
16 12368
32 11978
64 11215
128 9721
0 12739
0 12734
1 12709
2 12689
5 12610
11 12469
22 12241
44 11708
89 10631
178 8526
101 10355
203 7949
151 9177
46 11651
93 10539
186 8351
117 9982
235 7205
214 7702
172 8675
88 10656
