Hello World!
text: 0000000080000232, trojan data: 000000008002A000, spy data 000000008000A000
1000 points done
1000 points done
1000 points done
1000 points done
1000 points done
Done... printing results
195 103854
134 100953
12 99388
24 97712
49 98478
99 99191
199 101576
142 101160
29 99728
58 99349
117 99813
234 102844
213 102726
171 102058
87 100374
174 101323
93 100100
187 101538
119 100940
238 102918
220 102868
184 102334
113 100902
227 102404
199 102208
143 100914
30 99642
60 99320
121 100094
243 102794
231 102684
207 102328
158 101859
61 100133
122 100839
244 102686
232 103278
209 102882
163 101839
71 99962
142 101172
29 99142
58 98586
117 99990
235 102454
214 102654
173 101854
90 100815
180 101166
105 101220
211 102284
167 101458
79 100417
159 101024
63 100077
126 100321
252 103178
249 103426
243 102774
231 102540
206 102415
157 101368
58 100272
117 100242
235 102568
214 102934
172 101888
88 100630
177 101699
98 100357
196 102306
136 101547
17 98700
35 98754
71 98882
142 100804
29 99373
59 99004
119 100126
239 102277
223 102718
190 102077
124 101119
248 102968
241 103048
227 102926
198 102230
141 101570
27 100150
55 98732
110 99794
220 102579
184 102408
113 100774
226 102488
197 102150
139 101466
22 99721
44 98003
89 99614
179 101248
103 101113
207 102078
158 101294
60 100360
121 99824
243 102978
231 102814
207 102367
158 101501
61 100245
123 100074
247 102412
238 102808
221 102834
186 102194
116 100838
232 102411
209 102124
162 101478
68 100378
136 100932
17 99355
34 98976
68 98920
137 100452
19 99142
38 98219
77 98989
154 100864
52 99984
105 99397
211 102178
166 102008
77 99826
155 101419
55 99264
111 99801
223 102284
191 102581
126 101019
253 102948
250 103306
244 103272
232 103058
208 102634
161 101948
66 100470
132 100370
8 99342
16 98335
32 98403
64 98902
129 99886
3 98436
6 97636
12 97343
24 98211
48 98562
97 99424
195 101358
135 101600
14 98826
29 98474
58 98842
117 99782
234 102487
212 102458
168 101628
81 100390
162 100634
68 100464
136 100502
17 99142
35 98520
71 98070
143 100630
30 100142
60 99031
120 99505
240 102937
225 102804
194 102364
132 101011
8 99553
16 97979
33 98024
66 98935
133 100214
11 99480
22 98070
45 98572
90 99034
180 101047
104 101014
208 102098
161 101468
67 100187
135 100262
14 99700
29 97571
58 99110
117 100269
234 102644
213 102428
170 102089
84 100362
169 101120
83 100102
166 101375
76 100770
153 101414
51 100112
102 100030
205 101600
155 101728
54 99930
109 100280
219 102164
183 102134
110 100852
220 102134
185 101924
114 101220
228 102568
200 102437
145 101680
35 99771
71 99510
142 100791
29 99236
59 97981
119 100213
239 102691
222 102584
189 102329
123 100646
247 102888
238 102622
221 102518
187 102007
119 100522
238 102717
220 102734
184 101980
112 101129
225 102486
194 102464
132 101713
8 99602
16 98730
33 97510
66 98326
132 99972
8 99660
17 98012
35 98625
71 98929
142 100004
29 99323
58 99189
116 100669
232 102704
208 102430
161 101687
66 99602
133 100099
10 98934
21 97714
42 98660
85 99620
170 101179
84 100801
168 101760
80 100520
160 101260
64 100005
129 100604
3 98921
7 97646
14 97882
28 97806
56 98543
113 99785
227 102312
198 102008
140 101858
25 99561
51 98547
103 99658
207 102119
159 101708
63 100128
126 100500
253 103067
251 103222
247 103198
238 102901
220 102957
185 102312
115 100704
231 102688
207 102320
158 101880
61 100120
122 100543
244 102540
232 102564
208 101917
160 102068
64 100678
128 100530
1 99300
2 98218
4 97497
9 97278
19 97738
39 98634
79 99420
159 100784
63 99422
126 99970
253 102585
251 103244
246 103008
237 102895
219 102664
183 102230
111 101389
222 102222
189 102198
122 101398
244 102682
233 102802
211 102514
166 102038
76 100114
153 100969
50 99690
100 99531
201 101894
146 101408
36 99541
72 99638
144 100469
33 99222
67 99495
134 100200
13 99704
27 98546
54 98569
108 100332
216 102164
176 101648
97 101042
195 101891
135 101230
15 99152
31 98374
62 99342
124 99862
248 102912
240 102988
224 102175
192 101754
129 101339
2 99011
4 97556
9 98088
18 97380
36 97676
73 99468
146 100397
37 99914
75 98682
150 100792
44 99498
88 99369
176 101354
97 100376
195 102030
135 100966
14 98802
29 98872
59 98694
118 100494
236 102234
216 102790
177 101628
