Hello World!
text: 0000000080001312, shared data: 00000000800019C0
1000 points done
1000 points done
1000 points done
Done... printing results
195 70866
134 70860
12 70828
24 70865
49 70860
99 70867
199 70862
142 70865
29 70859
58 70828
117 70828
234 70828
213 70867
171 70863
87 70828
174 70865
93 70860
187 70867
119 70858
238 70867
220 70860
184 70867
113 70863
227 70867
199 70863
143 70865
30 70863
60 70867
121 70860
243 70828
231 70828
207 70867
158 70863
61 70828
122 70829
244 70828
232 70828
209 70828
163 70865
71 70860
142 70867
29 70856
58 70828
117 70867
235 70862
214 70828
173 70870
90 70860
180 70828
105 70867
211 70862
167 70870
79 70860
159 70828
63 70829
126 70870
252 70856
249 70828
243 70870
231 70856
206 70870
157 70858
58 70828
117 70867
235 70866
214 70828
172 70867
88 70860
177 70828
98 70867
196 70858
136 70828
17 70867
35 70828
71 70854
142 70828
29 70828
59 70828
119 70870
239 70866
223 70867
190 70828
124 70861
248 70865
241 70828
227 70858
198 70828
141 70867
27 70866
55 70870
110 70854
220 70867
184 70854
113 70829
226 70867
197 70854
139 70870
22 70856
44 70828
89 70867
179 70828
103 70856
207 70870
158 70863
60 70867
121 70860
243 70828
231 70828
207 70867
158 70863
61 70828
123 70865
247 70860
238 70870
221 70860
186 70867
116 70861
232 70828
209 70828
162 70870
68 70860
136 70828
17 70867
34 70863
68 70828
137 70867
19 70854
38 70828
77 70828
154 70828
52 70828
105 70870
211 70858
166 70829
77 70829
155 70865
55 70863
111 70870
223 70859
191 70870
126 70863
253 70865
250 70863
244 70828
232 70870
208 70861
161 70828
66 70828
132 70828
8 70828
16 70870
32 70861
64 70870
129 70863
3 70838
6 70828
12 70828
24 70870
48 70863
97 70828
195 70828
135 70828
14 70828
29 70867
58 70863
117 70829
234 70828
212 70867
168 70863
81 70870
162 70866
68 70828
136 70829
17 70867
35 70829
71 70870
143 70854
30 70870
60 70862
120 70863
240 70828
225 70828
194 70828
132 70828
8 70829
16 70870
33 70854
66 70867
133 70863
11 70865
22 70863
45 70870
90 70858
180 70828
104 70867
208 70858
161 70867
67 70858
135 70828
14 70870
29 70863
58 70828
117 70828
234 70867
213 70862
170 70828
84 70828
169 70828
83 70828
166 70828
76 70828
153 70865
51 70859
102 70828
205 70828
155 70829
54 70828
109 70867
219 70859
183 70828
110 70828
220 70828
185 70870
114 70863
228 70867
200 70828
145 70866
35 70828
71 70865
142 70828
29 70858
59 70828
119 70865
239 70863
222 70828
189 70870
123 70858
247 70870
238 70828
221 70863
187 70870
119 70866
238 70865
220 70863
184 70865
112 70861
225 70829
194 70828
132 70828
8 70870
16 70863
33 70865
66 70863
132 70870
8 70866
17 70828
35 70865
71 70860
142 70867
29 70856
58 70828
116 70870
232 70860
208 70867
161 70856
66 70828
133 70867
10 70858
21 70867
42 70858
85 70828
170 70865
84 70859
168 70828
80 70867
160 70863
64 70828
129 70828
3 70829
7 70867
14 70863
28 70828
56 70829
113 70828
227 70828
198 70828
140 70828
25 70828
51 70867
103 70862
207 70829
159 70870
63 70866
126 70828
253 70828
251 70867
247 70866
238 70865
220 70863
185 70828
115 70828
231 70828
207 70870
158 70863
61 70828
122 70867
244 70862
232 70828
208 70828
160 70867
64 70860
128 70870
1 70867
2 70838
4 70868
9 70865
19 70828
39 70870
79 70858
159 70870
63 70863
126 70867
253 70863
251 70828
246 70828
237 70867
219 70859
183 70828
111 70867
222 70862
189 70870
122 70854
244 70828
233 70865
211 70861
166 70828
76 70867
153 70854
50 70828
100 70870
201 70858
146 70828
36 70870
72 70828
144 70863
33 70870
67 70854
134 70828
13 70865
27 70860
54 70867
108 70860
216 70870
176 70854
97 70867
195 70861
135 70867
15 70866
31 70828
62 70828
124 70828
248 70867
240 70860
224 70828
192 70828
129 70870
2 70870
4 70865
9 70829
18 70828
36 70828
73 70867
146 70863
37 70870
75 70861
150 70828
44 70828
88 70828
176 70828
97 70829
195 70867
135 70828
14 70861
29 70828
59 70867
118 70861
236 70829
216 70828
177 70867
98 70858
197 70867
139 70854
22 70867
44 70859
88 70829
177 70865
98 70828
196 70863
136 70870
16 70862
33 70828
66 70828
132 70828
8 70828
16 70870
32 70861
64 70870
128 70828
0 70847
0 70848
1 70867
2 70838
5 70829
11 70828
22 70828
44 70828
89 70828
178 70870
101 70858
203 70870
151 70863
46 70867
93 70828
186 70862
117 70867
235 70866
214 70828
172 70867
88 70860
176 70867
96 70860
192 70828
128 70828
0 70846
1 70865
2 70840
5 70866
11 70870
23 70854
46 70828
92 70828
185 70865
115 70860
230 70867
205 70856
154 70828
52 70870
105 70862
210 70828
165 70828
74 70829
148 70870
41 70866
83 70829
167 70828
78 70828
157 70867
58 70863
116 70828
233 70867
210 70862
165 70828
75 70829
151 70867
47 70828
94 70860
189 70829
123 70828
247 70828
238 70828
220 70828
185 70865
115 70860
231 70867
206 70860
156 70829
56 70865
112 70861
225 70829
194 70828
133 70867
11 70859
22 70829
44 70829
88 70829
176 70829
96 70867
192 70866
128 70865
1 70829
2 70841
4 70865
8 70874
16 70862
32 70865
64 70862
129 70828
3 70829
7 70867
15 70866
30 70828
61 70867
122 70863
245 70870
234 70858
212 70828
168 70870
80 70859
160 70867
64 70856
129 70870
2 70870
4 70865
9 70829
19 70867
38 70866
77 70870
155 70860
55 70867
111 70862
223 70870
190 70859
125 70870
250 70863
245 70828
234 70828
213 70828
171 70867
87 70859
175 70828
95 70867
191 70862
127 70867
255 70862
254 70828
253 70828
250 70829
245 70828
234 70867
212 70863
169 70870
82 70862
165 70828
75 70829
151 70867
47 70828
94 70860
189 70829
123 70828
246 70867
237 70863
219 70828
182 70867
108 70858
216 70867
177 70858
98 70867
196 70858
137 70870
19 70863
39 70828
79 70865
158 70854
60 70828
120 70865
240 70862
